"last_name, first_name","player_id","year","xwoba","xwobacon","xbacon","exit_velocity_avg","launch_angle_avg","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","iz_contact_percent","edge_percent","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","f_strike_percent","flyballs_percent","linedrives_percent","sprint_speed"
"Meneses, Joey","608841","2023",".288",".329",".312","89.4","9.4",5.4,41.7,"99.929364091","94.237468244",64.7,14.2,31.5,42,85.8,41.5,23.6,47.6,39.5,33.1,27.5,62.4,19.2,25.8,"25.6"
"Swanson, Dansby","621020","2023",".345",".413",".350","89.3","13",10.9,39.7,"99.817409223","94.10753236",71.3,23.6,23.6,43.6,76.4,42.5,28.7,47.3,42.9,37,20.1,61.8,25.2,24.2,"28.4"
"Newman, Kevin","621028","2023",".311",".323",".317","86.5","12",2.5,29.3,"96.650571327","92.359183077",64.8,10.7,26.8,25.6,89.3,42.3,14.8,46.6,38.4,35.9,25.8,62.5,22.7,27.8,"28.0"
"Taylor, Chris","621035","2023",".312",".417",".350","86.2","21.5",9.8,37.4,"98.961485421","93.52875061",71.5,29.4,22.1,57.8,70.5,44.9,35.8,47.6,45.8,27.6,26.6,63.3,39.7,22.9,"28.3"
"Correa, Carlos","621043","2023",".330",".385",".341","90.4","10.6",9.6,45.9,"102.481230628","95.635527984",62.1,16.6,26.7,43,83.4,40.9,25.1,43.6,35.5,37.3,27.2,60.4,21.5,24.9,"26.6"
"Taylor, Tyrone","621438","2023",".304",".373",".322","87.7","18.2",6.8,39.5,"99.373020909","93.756534489",67.2,15.7,35.9,42.9,83.9,44.3,24.9,51.9,50.3,35,14.7,67.5,31.6,25.4,"28.8"
"Buxton, Byron","621439","2023",".316",".418",".332","91.5","20.1",14.6,45.7,"102.5176971","95.782166382",72.7,20.6,27.9,56,79.4,41,30.6,50,49.2,33.7,17.1,59.4,32.2,24.1,"29.3"
"Stewart, DJ","621466","2023",".339",".444",".354","89.9","16.5",12.3,44.3,"100.7570575","94.657703462",77.8,28.2,25.8,57,71.4,43.2,35.8,50.8,58.5,28.3,13.2,54.6,26.4,21.7,"26.3"
"Ward, Taylor","621493","2023",".338",".374",".327","90.7","14.3",8.2,43.9,"100.268469209","94.588852374",66.8,12.5,23.2,44.8,87.5,43.1,21.1,44.3,37.6,37.2,25.2,55.7,32.3,22,"28.0"
"Remillard, Zach","621545","2023",".219",".286",".297","85.7","11.9",1,20.4,"94.815706809","91.444496989",64.3,21.8,26.7,65.7,74.8,45,33.1,47.2,41.7,38.8,19.4,62.9,13.6,19.4,"28.4"
"Wisdom, Patrick","621550","2023",".339",".504",".370","92.7","21.7",20.1,54.7,"103.448312785","96.664593567",69.9,26.8,24.1,53.4,73.2,43.5,33.8,46.7,44.7,39,16.4,58.3,39.6,17.6,"27.7"
"Wendle, Joey","621563","2023",".263",".310",".301","89.2","3.8",3.4,39.4,"97.966208793","93.354777576",62.5,15,33.4,43.1,83.7,42,25,47.7,29.2,39.4,31.4,62.6,19.9,21.6,"27.8"
"Olson, Matt","621566","2023",".392",".470",".362","93.7","16.1",16.4,55.5,"104.825276757","97.314084392",71.5,24.4,26,37.6,75.6,42.4,28.4,46.8,36,40.2,23.8,55.9,34.4,20.9,"26.2"
"Duffy, Matt","622110","2023",".298",".331",".334","86.4","8.8",2.6,33.1,"96.70870961","92.368218506",64.8,15.8,28.9,41.6,84.2,44.2,23,48.1,32.5,39,28.6,68.9,19.5,26,"27.0"
"Margot, Manuel","622534","2023",".301",".331",".318","87.9","10.5",3.9,37.8,"99.699502578","93.924441765",69.3,16.6,31.4,41.4,80.8,42.1,24.2,50.5,39,33.6,27.4,60.4,20.8,24.3,"28.3"
"Reyes, Pablo","622569","2023",".310",".317",".300","88.1","14.7",4,36,"98.745577123","93.451553172",62,11.9,20.1,24.6,87.7,41.9,14.9,41.7,40,40,20,60.5,21.3,24.7,"27.9"
"Mateo, Jorge","622761","2023",".289",".349",".320","88.4","10.4",5.3,38.5,"100.431419748","94.295455274",68.1,15.4,33.9,50.6,82.5,40.4,27.8,50.3,38.1,36.9,25,60,25,22.5,"30.1"
