#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
415,Richie Palacios,TB,L,OF,OF,44,146,126,17.1,2.7,15.0,2.4,31.4,20.3,7.8,0.6,48.6,25.9,16.1,1.8,1.1,0.9,0.9,0.249,0.337,0.385,0.722,0.290,680700
416,Sam Haggerty,SEA,S,OF,2B/OF,51,144,127,16.5,2.8,14.5,7.4,30.2,19.2,7.4,0.8,47.7,33.8,12.8,1.9,1.1,0.9,2.0,0.238,0.312,0.375,0.687,0.300,664059
417,Oswald Peraza,NYY,R,3B,2B/3B,40,144,129,17.4,4.5,16.9,4.6,31.7,21.5,5.4,0.4,51.3,31.9,10.5,2.3,1.1,0.9,1.6,0.246,0.309,0.397,0.706,0.291,672724
418,Sam Hilliard,COL,L,OF,OF,49,142,125,17.5,5.4,17.1,3.3,28.7,17.9,4.8,0.6,51.1,44.9,13.7,1.1,1.1,0.9,1.0,0.230,0.306,0.410,0.717,0.309,656541
419,Oscar Colas,CHW,L,OF,OF,44,142,130,16.0,4.9,16.8,1.5,32.6,20.6,6.9,0.2,54.4,36.3,8.5,1.3,1.1,1.0,0.7,0.250,0.298,0.418,0.716,0.307,693049
420,Nasim Nunez,WSH,S,SS,SS,41,141,122,13.6,1.1,10.4,6.1,26.3,19.8,5.0,0.4,35.3,32.0,15.5,1.0,1.1,0.9,2.1,0.215,0.304,0.289,0.592,0.280,683083
421,Troy Johnston,MIA,L,1B,1B,41,141,125,16.4,3.8,15.1,1.8,30.5,20.8,5.3,0.6,48.4,31.1,12.0,2.0,1.1,0.9,0.6,0.245,0.316,0.388,0.704,0.294,687859
422,Cristian Pache,PHI,R,OF,OF,50,139,125,16.3,3.7,15.1,2.8,28.7,18.2,6.1,0.7,47.2,36.9,11.0,1.0,1.1,1.0,1.3,0.230,0.293,0.378,0.671,0.293,665506
423,Matthew Batten,SD,R,2B,1B/2B/ 3B,47,139,122,14.2,2.1,11.9,4.1,26.4,18.9,5.1,0.3,38.4,38.3,13.5,1.0,1.1,0.9,1.5,0.215,0.295,0.314,0.609,0.292,676946
424,Chase DeLauter,CLE,L,OF,OF,46,136,125,13.4,2.4,12.9,1.5,29.6,20.7,6.3,0.3,43.6,26.3,7.3,1.4,1.0,0.8,0.6,0.237,0.282,0.349,0.631,0.279,800050
425,Cade Marlowe,SEA,L,OF,OF,40,130,117,13.3,3.4,13.4,4.6,24.9,15.2,5.4,0.8,42.3,41.6,10.1,1.2,1.0,0.9,1.7,0.213,0.278,0.362,0.640,0.295,687799
426,David Peralta,CHC,L,OF,OF,41,127,116,14.0,2.9,13.9,1.0,30.7,21.0,6.1,0.6,46.9,25.5,8.5,1.0,1.0,0.6,0.4,0.266,0.318,0.405,0.723,0.315,2136
427,Oswaldo Cabrera,NYY,S,OF,SS/3B/ OF,41,127,114,15.2,3.9,14.9,2.7,26.8,16.5,5.9,0.4,45.3,29.3,9.7,1.1,0.9,0.7,1.0,0.234,0.296,0.397,0.693,0.279,665828
