#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP,RazzID
286,Chris Devenski,TB,RP,R,56.7,0.0,0.0,267.8,62.4,3.0,3.1,0,17,4.39,4.32,1.29,58.6,20.2,60.1,2.7,30.8,32.9,9,37.7,42.3,20.0,0.283,12763
287,Shawn Armstrong,TB,RP,R,56.7,0.0,0.0,261.7,62.4,3.2,2.9,0,14,3.84,3.86,1.21,64.5,19.2,56.5,2.9,27.0,29.0,8,39.7,40.6,19.8,0.286,12857
288,Phil Bickford,NYM,RP,R,56.7,0.0,0.0,269.9,62.4,3.0,3.1,0,6,4.37,4.31,1.33,65.3,26.1,57.1,2.9,31.1,33.1,9,35.7,44.2,20.1,0.280,641360
289,Trevor Megill,MIL,RP,R,56.7,0.0,0.0,259.4,62.4,3.3,2.8,3,14,3.52,3.63,1.22,79.3,24.6,51.6,2.5,24.0,26.0,7,39.6,41.3,19.1,0.295,656730
290,Jorge Alcala,MIN,RP,R,56.7,0.0,0.0,266.6,62.4,3.1,3.0,0,11,4.01,3.98,1.28,64.1,24.1,55.7,2.6,28.7,30.8,8,39.3,41.1,19.6,0.282,660896
291,Eli Morgan,CLE,RP,R,56.7,0.0,0.0,264.2,62.4,3.0,3.1,0,12,4.10,4.08,1.23,66.0,18.7,57.8,2.4,28.6,30.5,10,34.7,45.3,20.0,0.284,669212
292,Kody Funderburk,MIN,RP,L,56.7,0.0,0.0,266.0,62.4,3.3,2.9,0,11,3.48,3.82,1.31,63.5,24.4,57.3,3.0,25.0,27.4,6,49.0,30.8,20.2,0.302,681892
293,Joey Wentz,DET,RP,L,43.7,3.2,1.1,266.3,62.0,2.9,3.4,0,4,4.20,4.36,1.32,60.3,23.2,58.5,2.0,29.2,31.3,9,37.0,43.0,19.9,0.292,666214
294,Jhoan Duran,MIN,RP,R,61.6,0.0,0.0,250.1,61.6,3.6,2.4,35,0,2.54,2.50,1.09,84.9,22.9,44.0,2.8,17.9,20.1,4,52.1,29.2,18.7,0.292,661395
295,David Bednar,PIT,RP,R,61.6,0.0,0.0,257.3,61.6,3.3,2.8,30,0,3.55,3.57,1.18,70.3,21.9,50.9,2.4,24.3,26.2,7,36.8,43.8,19.5,0.287,670280
296,Lance McCullers Jr.,HOU,SP,R,20.4,10.2,4.6,262.0,61.2,3.9,2.8,0,1,4.08,4.20,1.35,60.4,23.7,59.0,3.1,27.8,30.2,7,48.4,31.4,20.2,0.303,14120
297,Joey Lucchesi,NYM,SP,L,27.7,7.9,3.4,262.8,60.9,3.4,3.2,0,2,4.31,4.48,1.39,50.0,20.9,63.6,2.4,30.0,32.3,8,44.5,34.8,20.7,0.298,664192
298,Mick Abel,PHI,SP,R,27.7,7.9,3.0,270.7,60.9,3.2,3.6,0,2,5.10,5.43,1.52,53.0,30.3,62.4,3.4,34.2,36.4,10,39.2,39.6,21.2,0.298,690953
299,Deivi Garcia,CHW,RP,R,43.7,3.2,1.1,262.2,60.6,2.6,3.7,0,4,5.09,5.47,1.54,52.1,30.9,62.7,3.4,34.2,36.4,11,35.7,44.2,20.1,0.277,665620
300,Bailey Falter,PIT,SP,L,30.8,6.5,2.5,257.5,60.4,3.0,3.5,0,2,4.53,4.78,1.31,48.0,16.5,62.8,2.4,30.4,32.4,10,37.3,42.2,20.5,0.296,663559
301,Aroldis Chapman,PIT,RP,L,59.9,0.0,0.0,248.3,59.9,3.5,2.4,3,15,2.86,3.04,1.18,87.9,33.0,37.8,2.3,19.0,20.8,5,40.5,40.2,19.2,0.280,10233
302,George Soriano,MIA,RP,R,59.9,0.0,0.0,261.8,59.9,2.8,3.1,0,6,4.59,4.76,1.39,55.0,26.1,57.0,3.8,30.3,32.4,8,38.6,41.6,19.9,0.292,666277
303,Alex Faedo,DET,RP,R,39.6,0.0,0.0,250.0,59.4,2.9,2.9,0,6,4.01,3.79,1.17,60.5,17.7,51.7,2.1,26.7,28.5,8,35.6,44.6,19.9,0.272,656412
304,Cooper Criswell,BOS,SP,R,21.1,7.9,3.2,256.7,59.3,3.1,3.4,0,1,4.90,5.09,1.42,41.8,16.5,67.6,3.8,30.2,32.6,8,47.5,31.6,20.9,0.319,681867
305,Gavin Hollowell,COL,RP,R,53.5,0.0,0.0,254.7,58.9,2.8,3.0,0,10,5.14,5.40,1.42,51.1,25.5,58.2,3.3,29.5,31.4,10,36.8,43.0,20.2,0.299,668970
306,Nick Robertson,STL,RP,R,53.5,0.0,0.0,250.0,58.9,3.1,2.7,0,5,3.81,4.01,1.30,59.3,22.5,53.8,2.4,25.4,27.5,7,42.8,37.8,19.5,0.298,687798
307,Jonathan Hernandez,TEX,RP,R,58.8,0.0,0.0,255.8,58.8,3.0,2.8,2,15,4.17,4.53,1.45,58.1,28.8,56.3,2.9,26.2,28.5,7,47.9,32.5,19.7,0.308,642546
308,Bryan Abreu,HOU,RP,R,58.8,0.0,0.0,245.7,58.8,3.4,2.4,0,18,3.27,3.29,1.19,79.6,25.8,44.3,2.8,21.4,23.3,6,40.8,39.7,19.4,0.286,650556
309,Brusdar Graterol,LAD,RP,R,58.8,0.0,0.0,248.1,58.8,3.2,2.5,5,15,3.53,3.48,1.24,53.3,17.0,56.0,3.1,23.5,25.9,6,53.4,27.3,19.3,0.295,660813
310,Ian Gibaut,CIN,RP,R,58.8,0.0,0.0,253.7,58.8,2.9,2.9,0,18,4.57,4.67,1.40,56.5,24.7,57.9,2.6,28.0,30.1,9,42.1,38.0,19.8,0.299,664139
311,Carlos Hernandez,KC,RP,R,58.8,0.0,0.0,249.4,58.8,3.0,2.8,0,18,4.05,4.11,1.26,60.0,23.4,51.0,2.2,25.9,27.8,7,36.2,44.6,19.2,0.286,672578
312,Joan Adon,WSH,SP,R,30.4,4.0,1.5,254.2,58.8,2.7,3.4,0,3,4.42,4.59,1.41,51.3,23.5,59.2,2.9,28.5,30.8,8,45.5,34.5,19.9,0.305,672851
313,Zach Davies,WSH,SP,R,23.5,8.8,3.3,254.5,58.7,4.5,6.6,0,0,5.00,5.44,1.55,43.7,22.7,68.0,1.9,32.2,34.5,9,42.5,36.6,20.9,0.311,13183
314,Yimi Garcia,TOR,RP,R,64.8,0.0,0.0,243.4,58.3,3.0,2.7,1,16,3.69,3.86,1.21,61.6,17.8,52.7,2.9,24.3,26.2,8,39.7,40.7,19.6,0.291,12095
315,Adam Ottavino,NYM,RP,R,64.8,0.0,0.0,254.5,58.3,2.8,2.9,5,16,4.26,3.93,1.32,58.3,24.2,53.0,3.7,28.4,30.6,7,45.5,34.3,20.2,0.280,1247
316,Pierce Johnson,ATL,RP,R,64.8,0.0,0.0,246.2,58.3,3.3,2.4,3,16,3.56,3.69,1.25,74.4,23.4,49.2,2.0,22.8,24.6,7,38.6,41.8,19.7,0.301,13435
317,Taylor Rogers,SF,RP,L,64.8,0.0,0.0,246.2,58.3,3.0,2.7,3,16,3.49,3.60,1.23,67.1,21.6,49.9,3.2,23.3,25.2,6,42.2,37.8,19.9,0.295,13449
318,Lucas Sims,CIN,RP,R,64.8,0.0,0.0,254.2,58.3,2.8,2.9,3,16,4.76,4.71,1.36,65.3,29.9,49.3,3.8,28.8,30.6,10,30.7,49.1,20.2,0.264,13470
319,Steven Okert,MIN,RP,L,64.8,0.0,0.0,248.3,58.3,3.0,2.8,2,16,3.83,3.96,1.23,69.1,24.3,47.5,3.1,25.6,27.3,8,31.6,48.4,20.0,0.274,13580
320,Robert Stephenson,LAA,RP,R,64.8,0.0,0.0,244.3,58.3,3.0,2.7,12,13,3.97,3.79,1.19,69.0,21.6,47.9,2.1,25.2,26.8,9,33.3,47.2,19.5,0.270,13594
321,JT Chargois,MIA,RP,R,64.8,0.0,0.0,251.9,58.3,2.8,2.9,0,6,4.25,4.18,1.34,54.2,23.1,55.1,2.9,27.4,29.6,7,44.8,35.5,19.7,0.295,13767
322,Paul Sewald,ARI,RP,R,64.8,0.0,0.0,246.5,58.3,3.0,2.7,25,3,3.95,3.90,1.20,66.7,22.4,47.4,2.5,25.7,27.4,8,32.6,47.1,20.2,0.271,13892
323,Josh Hader,HOU,RP,L,64.8,0.0,0.0,243.4,58.3,3.3,2.4,35,3,3.35,3.42,1.16,83.8,25.9,41.8,2.8,21.8,23.4,7,32.6,47.7,19.7,0.273,14212
324,Trevor Gott,OAK,RP,R,64.8,0.0,0.0,251.1,58.3,2.6,3.1,3,16,4.26,4.39,1.34,52.9,21.6,56.6,2.8,28.6,30.7,8,40.3,39.7,20.1,0.292,15046
325,Miguel Castro,ARI,RP,R,64.8,0.0,0.0,251.7,58.3,2.9,2.8,3,16,4.17,4.29,1.38,56.7,26.1,54.2,3.0,27.1,29.3,6,44.2,36.0,19.7,0.299,15684
326,Ryne Stanek,SEA,RP,R,64.8,0.0,0.0,250.8,58.3,2.9,2.8,0,13,4.04,4.01,1.26,67.1,25.5,48.2,2.3,26.7,28.5,8,32.9,47.6,19.5,0.265,15947
327,Jeff Hoffman,PHI,RP,R,64.8,0.0,0.0,246.8,58.3,3.0,2.7,0,10,3.85,3.79,1.21,67.6,24.7,46.1,2.7,24.7,26.5,8,35.2,45.1,19.6,0.265,17432
